timestamp;temperature (°C);humidity (%);pressure (hPa);wind_speed (km/h);wind_direction;battery_voltage (V)
1613977312;14,38;31;1001,28;0,00;3,0;12,6
1613977911;12,88;41;998,05;2,70;6,0;12,6
1613978511;11,56;42;996,11;0,00;5,0;12,6
1613979113;10,69;43;994,99;0,10;6,0;12,6
1613979713;10,31;43;994,44;0,40;9,0;12,6
1613980314;10,31;43;994,19;1,30;3,0;12,6
1613980913;10,12;42;994,09;0,30;5,0;12,6
1613981512;10,25;42;994,18;0,20;3,0;12,6
1613982113;10,44;41;994,37;0,20;2,0;12,6
1613982712;10,44;40;994,49;0,10;2,0;12,6
1613983312;10,38;39;994,40;2,60;1,0;12,6
1613983909;10,06;39;994,03;4,30;2,0;12,7
1613984511;10,19;39;994,22;2,50;4,0;12,7
1613985114;10,38;39;994,50;0,50;2,0;12,7
1613985713;10,88;38;995,33;4,10;2,0;12,8
1613986312;10,94;37;995,55;0,00;3,0;12,9
1613986913;11,31;37;996,16;0,10;4,0;13,0
1613987512;11,62;37;996,64;0,00;11,0;13,1
1613988115;12,56;36;998,47;0,30;3,0;14,7
1613988713;13,06;36;998,93;2,60;4,0;14,7
1613989311;13,00;36;999,23;0,00;4,0;14,6
1613989912;13,19;36;999,14;1,30;11,0;14,6
1613990511;13,12;36;999,14;2,10;8,0;14,6
1613991110;15,50;35;1002,44;4,90;8,0;14,6
1613991709;15,62;36;1002,22;4,20;3,0;14,6
1613992313;15,94;35;1003,39;4,70;4,0;14,5
1613992911;16,06;57;1003,25;7,50;4,0;14,5
1613993512;16,25;34;1003,77;5,90;2,0;14,5
1613994111;16,56;35;1004,14;3,20;3,0;14,5
1613994713;16,44;34;1004,04;5,40;1,0;14,5
1613995313;16,44;34;1003,90;2,10;3,0;14,5
1613995912;16,06;34;1003,49;10,00;2,0;14,5
1613996514;16,31;35;1004,07;6,70;6,0;14,5
1613997112;15,88;35;1003,14;9,10;3,0;13,9
1613997714;15,75;35;1003,23;11,50;2,0;14,0
1613998313;16,06;35;1004,02;2,50;5,0;14,0
1613998912;16,19;35;1004,10;1,90;3,0;13,9
1613999512;16,25;35;1004,40;0,20;2,0;13,9
1614000112;16,62;35;1004,91;3,60;4,0;13,9
1614000711;16,88;35;1005,25;1,40;4,0;13,9
1614001312;16,25;34;1004,33;0,40;5,0;13,9
1614001912;15,50;35;1002,82;0,00;8,0;14,5
1614002512;15,50;35;1002,79;3,90;5,0;13,3
1614003113;15,56;34;1002,80;5,80;7,0;13,7
1614003712;15,75;34;1002,88;3,20;5,0;13,1
1614004313;15,69;33;1002,92;1,90;4,0;13,0
1614004913;15,69;33;1002,87;5,10;2,0;12,9
1614005509;15,25;33;1002,62;4,70;5,0;12,9
1614006105;15,38;56;1002,85;6,10;3,0;13,0
1614006707;14,88;33;1002,50;1,50;2,0;13,3
1614007309;15,12;34;1003,26;6,80;6,0;13,3
1614007912;14,75;34;1002,12;3,80;8,0;12,9
1614008510;13,94;34;1001,35;3,80;8,0;12,8
1614009108;13,75;35;1001,32;0,00;13,0;12,7
1614009710;13,69;35;1001,28;0,00;4,0;12,7
1614010310;13,56;35;1001,26;0,00;4,0;12,7
1614010913;13,31;35;1001,12;3,20;6,0;12,7
1614011510;13,12;35;1000,97;0,00;4,0;12,7
1614012112;12,88;34;1000,58;0,90;6,0;12,6
1614012715;12,56;35;1000,48;0,10;8,0;12,6
1614013312;12,38;35;1000,42;1,10;8,0;12,6
1614063726;6,25;72;998,96;7,40;11,0;12,4
1614064311;6,44;72;999,56;3,60;11,0;12,4
1614064911;6,75;40;999,95;6,10;10,0;12,4
